city,state_id,state_name,lat,lng,population
Perryville,AK,Alaska,55.9315,-159.1559,86
Nikolai,AK,Alaska,63.0095,-154.3763,86
Chistochina,AK,Alaska,62.5921,-144.8135,85
Larsen Bay,AK,Alaska,57.5404,-154.0056,83
Eagle,AK,Alaska,64.7813,-141.1979,83
Sleetmute,AK,Alaska,61.6516,-157.1251,83
Hughes,AK,Alaska,66.0452,-154.2376,83
Red Dog Mine,AK,Alaska,68.0645,-162.8667,82
Anvik,AK,Alaska,62.6541,-160.214,82
Atka,AK,Alaska,52.2301,-174.2133,81
Whitestone,AK,Alaska,64.1528,-145.9061,80
Manley Hot Springs,AK,Alaska,65.0187,-150.6453,80
Tatitlek,AK,Alaska,60.8921,-146.6727,78
Shageluk,AK,Alaska,62.6684,-159.563,78
Levelock,AK,Alaska,59.0683,-156.901,76
Chignik Lagoon,AK,Alaska,56.3041,-158.5004,75
Nelson Lagoon,AK,Alaska,55.8451,-161.6103,74
Circle,AK,Alaska,65.7936,-144.1813,74
Halibut Cove,AK,Alaska,59.5744,-151.2296,71
Akhiok,AK,Alaska,56.945,-154.2151,68
Platinum,AK,Alaska,58.978,-161.7185,67
Pilot Point,AK,Alaska,57.5585,-157.6798,65
Oscarville,AK,Alaska,60.7288,-161.7728,64
Iliamna,AK,Alaska,59.7957,-154.8698,63
Twin Hills,AK,Alaska,59.0815,-160.2826,63
Igiugig,AK,Alaska,59.3056,-155.8738,62
Clark's Point,AK,Alaska,58.8329,-158.5276,62
Rampart,AK,Alaska,65.4087,-149.9915,60
Crown Point,AK,Alaska,60.4267,-149.3529,58
Hope,AK,Alaska,60.8925,-149.6352,55
Gulkana,AK,Alaska,62.2152,-145.4449,52
Port Alexander,AK,Alaska,56.2346,-134.6532,52
Chignik Lake,AK,Alaska,56.2631,-158.8049,51
Kasaan,AK,Alaska,55.5573,-132.4137,48
Chenega,AK,Alaska,60.0757,-148.0194,48
Klukwan,AK,Alaska,59.3987,-135.8886,47
Central,AK,Alaska,65.5213,-144.6409,47
Beaver,AK,Alaska,66.383,-147.3219,46
Karluk,AK,Alaska,57.5845,-154.3255,44
Port Clarence,AK,Alaska,65.1108,-166.7683,43
False Pass,AK,Alaska,54.8416,-163.348,43
Skwentna,AK,Alaska,61.9314,-151.2096,42
Edna Bay,AK,Alaska,55.964,-133.6662,41
South Naknek,AK,Alaska,58.6638,-156.9908,41
Stony River,AK,Alaska,61.7936,-156.586,41
Sunrise,AK,Alaska,60.8701,-149.4678,40
Port Protection,AK,Alaska,56.3293,-133.594,38
Dot Lake Village,AK,Alaska,63.6622,-144.016,38
Covenant Life,AK,Alaska,59.3998,-136.0948,35
Excursion Inlet,AK,Alaska,58.4355,-135.373,33
Whale Pass,AK,Alaska,56.1053,-133.1244,30
Tonsina,AK,Alaska,61.5617,-145.0656,28
Aleneva,AK,Alaska,58.059,-152.9091,27
Mendeltna,AK,Alaska,62.1359,-146.5388,26
Kupreanof,AK,Alaska,56.8089,-132.9889,26
Nikolski,AK,Alaska,53.0133,-168.7536,26
Eagle Village,AK,Alaska,64.7434,-141.1138,25
Takotna,AK,Alaska,62.9823,-156.0841,23
Red Devil,AK,Alaska,61.7735,-157.346,21
Pedro Bay,AK,Alaska,59.7822,-154.1236,20
Attu Station,AK,Alaska,52.8955,173.123,17
Ferry,AK,Alaska,64.0496,-148.9205,16
Hyder,AK,Alaska,55.9816,-130.0383,15
Lake Minchumina,AK,Alaska,63.798,-152.3448,14
Chicken,AK,Alaska,64.0878,-141.8283,13
Wiseman,AK,Alaska,67.4371,-150.1334,13
Bettles,AK,Alaska,66.9084,-151.5369,12
Elfin Cove,AK,Alaska,58.1912,-136.3129,12
Evansville,AK,Alaska,66.9205,-151.4203,11
Stevens Village,AK,Alaska,66.025,-149.0802,11
Lake Louise,AK,Alaska,62.3131,-146.5625,9
Chase,AK,Alaska,62.4624,-149.9371,9
Kenny Lake,AK,Alaska,61.6644,-144.8662,9
Lime Village,AK,Alaska,61.327,-155.3181,8
Ugashik,AK,Alaska,57.5736,-157.1232,8
Livengood,AK,Alaska,65.4817,-148.4171,4
Healy Lake,AK,Alaska,64.0281,-144.633,4
Beluga,AK,Alaska,61.1869,-151.1637,4
Four Mile Road,AK,Alaska,64.6045,-149.1222,4
Alatna,AK,Alaska,66.5638,-152.8385,4
Birch Creek,AK,Alaska,66.2686,-145.8698,2
Birmingham,AL,Alabama,33.5277,-86.7987,739573
Huntsville,AL,Alabama,34.6988,-86.6412,319249
Mobile,AL,Alabama,30.6783,-88.1162,315502
Montgomery,AL,Alabama,32.3473,-86.2666,254634
Tuscaloosa,AL,Alabama,33.2348,-87.5267,155499
Auburn,AL,Alabama,32.6087,-85.4899,92777
Hoover,AL,Alabama,33.3754,-86.8064,85768
Florence,AL,Alabama,34.8303,-87.6654,79964
Anniston,AL,Alabama,33.6712,-85.8136,73501
Dothan,AL,Alabama,31.2335,-85.4069,72396
Daphne,AL,Alabama,30.6286,-87.8866,71484
Decatur,AL,Alabama,34.573,-86.9906,68867
Gadsden,AL,Alabama,34.009,-86.0156,60944
Madison,AL,Alabama,34.7114,-86.7626,51593
Enterprise,AL,Alabama,31.3276,-85.8459,38914
Albertville,AL,Alabama,34.2634,-86.2107,37775
Foley,AL,Alabama,30.3983,-87.6649,36921
Phenix City,AL,Alabama,32.4588,-85.0251,36487
Prattville,AL,Alabama,32.4605,-86.4588,35957
Vestavia Hills,AL,Alabama,33.4518,-86.7438,34413
Alabaster,AL,Alabama,33.2198,-86.8225,33487
Athens,AL,Alabama,34.7847,-86.951,31187
Opelika,AL,Alabama,32.6612,-85.3769,30908
Bessemer,AL,Alabama,33.3709,-86.9713,26472
Northport,AL,Alabama,33.2589,-87.5984,26115
Homewood,AL,Alabama,33.4617,-86.8092,25377
Pelham,AL,Alabama,33.3114,-86.7573,23911
Fairhope,AL,Alabama,30.5217,-87.8815,22677
Trussville,AL,Alabama,33.6404,-86.5819,22635
Prichard,AL,Alabama,30.7735,-88.1301,21428
Oxford,AL,Alabama,33.5967,-85.8687,21225
Mountain Brook,AL,Alabama,33.4871,-86.74,20297
Valley,AL,Alabama,32.8088,-85.1809,19926
Helena,AL,Alabama,33.2845,-86.8756,19925
Cullman,AL,Alabama,34.1777,-86.8407,19920
Selma,AL,Alabama,32.4166,-87.0336,19775
Tillmans Corner,AL,Alabama,30.5818,-88.2128,17814
Sylacauga,AL,Alabama,33.1778,-86.2606,16982
Troy,AL,Alabama,31.8021,-85.9665,16712
Center Point,AL,Alabama,33.6446,-86.6851,16110
Millbrook,AL,Alabama,32.5028,-86.3737,15896
